invoice_id,subscription_id,invoiced_amount,invoice_date
inv_90226,sub_53070,505.87,2023-11-10
inv_90227,sub_50169,1116.68,2024-02-27
inv_90228,sub_51843,1413.83,2023-04-19
inv_90229,sub_51526,796.63,2024-05-22
inv_90230,sub_52500,490.96,2023-05-15
inv_90231,sub_51175,1093.67,2024-10-10
inv_90232,sub_52198,753.24,2023-10-07
inv_90233,sub_53425,167.37,2024-11-02
inv_90234,sub_53973,1257.79,2024-01-14
inv_90235,sub_53667,45.1,2023-12-06
inv_90236,sub_52014,1458.3,2023-09-22
inv_90237,sub_51254,875.44,2024-10-03
inv_90238,sub_51014,1300.95,2024-08-09
inv_90239,sub_50748,161.86,2024-07-22
inv_90240,sub_53267,197.63,2024-02-08
inv_90241,sub_51272,265.95,2023-10-10
inv_90242,sub_52932,1338.67,2023-10-17
inv_90243,sub_53138,309.41,2024-01-10
inv_90244,sub_51191,1121.73,2023-03-23
inv_90245,sub_52419,1498.69,2024-12-30
inv_90246,sub_53855,1269.46,2023-02-21
inv_90247,sub_50206,968.05,2024-12-26
inv_90249,sub_53984,509.75,2024-12-29
inv_90250,sub_51728,749.6,2024-09-02
inv_90251,sub_52534,252.14,2024-01-20
inv_90252,sub_50550,467.45,2023-10-12
inv_90253,sub_53688,1081.95,2023-04-10
inv_90254,sub_53645,706.07,2024-07-10
inv_90255,sub_52692,116.27,2023-11-06
inv_90256,sub_52141,1022.44,2023-02-13
inv_90257,sub_52200,923.31,2024-02-03
inv_90258,sub_51476,1443.41,2024-10-27
inv_90259,sub_53796,846.51,2023-04-16
inv_90260,sub_51223,622.91,2023-06-05
inv_90261,sub_52690,1443.15,2023-04-30
inv_90262,sub_52834,133.88,2024-08-19
inv_90263,sub_50910,1230.94,2024-01-26
inv_90264,sub_52204,707.21,2024-01-07
inv_90265,sub_51961,427.39,2023-04-03
inv_90266,sub_50698,1362.19,2025-01-01
inv_90267,sub_52081,720.66,2024-05-12
inv_90268,sub_50048,1023.88,2023-10-01
inv_90269,sub_51262,1391.79,2023-03-14
inv_90270,sub_52206,592.83,2023-10-31
inv_90271,sub_52700,114.13,2024-09-09
inv_90272,sub_50212,395.85,2024-07-06
inv_90273,sub_50214,771.11,2024-02-22
inv_90274,sub_50575,1075.33,2024-06-17
inv_90275,sub_53112,1208.17,2023-08-26
inv_90276,sub_51300,1097.4,2023-12-02
inv_90277,sub_52598,732.8,2023-10-16
inv_90278,sub_50753,711.0,2024-08-23
inv_90280,sub_50340,1095.89,2024-12-22
inv_90281,sub_50261,242.9,2024-11-02
inv_90282,sub_52387,1227.27,2023-08-23
inv_90283,sub_53889,515.85,2024-10-05
inv_90284,sub_50551,1084.91,2023-10-23
inv_90285,sub_50488,263.55,2024-03-10
inv_90286,sub_51697,616.66,2023-07-02
inv_90287,sub_53915,992.44,2024-03-11
inv_90288,sub_52300,1341.8,2024-02-06
inv_90289,sub_51689,1177.61,2023-02-14
inv_90290,sub_53451,1302.19,2024-09-20
inv_90291,sub_50014,1067.89,2024-06-11
inv_90292,sub_52244,510.22,2023-11-08
inv_90293,sub_50281,123.4,2023-03-20
inv_90294,sub_52929,196.14,2023-05-15
inv_90295,sub_50118,153.0,2023-02-04
inv_90296,sub_50633,1176.86,2023-04-03
inv_90297,sub_53528,1282.76,2024-01-14
inv_90298,sub_53574,1195.15,2023-06-04
inv_90299,sub_51899,1474.99,2024-12-08
inv_90300,sub_51826,1012.52,2023-04-04
inv_90301,sub_52644,423.98,2023-02-23
inv_90302,sub_51276,1377.75,2023-05-20
inv_90303,sub_53577,791.74,2024-04-28
inv_90304,sub_51664,449.55,2024-03-18
inv_90305,sub_52076,1413.04,2023-01-22
inv_90306,sub_53302,1424.14,2024-09-25
inv_90307,sub_50103,1067.6,2023-09-16
inv_90308,sub_53802,943.56,2023-11-25
inv_90309,sub_50639,583.38,2023-12-10
inv_90311,sub_53926,566.15,2023-10-28
inv_90312,sub_53005,1114.41,2023-10-11
inv_90313,sub_50384,1302.78,2024-05-12
inv_90314,sub_50595,1226.3,2024-07-26
inv_90315,sub_50439,176.13,2023-06-21
inv_90316,sub_50855,134.98,2023-09-26
inv_90317,sub_52287,809.18,2023-08-23
inv_90318,sub_51701,646.41,2023-02-03
inv_90319,sub_50717,920.33,2024-01-12
inv_90320,sub_51097,1382.89,2023-12-18
inv_90321,sub_53093,1485.09,2024-07-31
inv_90322,sub_52882,1325.89,2024-10-10
inv_90323,sub_53785,902.65,2023-12-04
inv_90324,sub_53365,1216.93,2023-07-08
inv_90325,sub_53508,629.69,2024-05-15
inv_90326,sub_50155,1238.43,2023-12-21
inv_90327,sub_51681,226.48,2024-12-17
inv_90328,sub_51186,439.95,2023-07-17
inv_90329,sub_53601,1176.86,2023-05-30
inv_90330,sub_52546,969.44,2024-12-28
inv_90331,sub_53815,1350.69,2023-04-01
inv_90332,sub_52892,157.89,2023-02-14
inv_90333,sub_52920,1255.02,2024-02-25
inv_90334,sub_50729,930.03,2023-09-10
inv_90335,sub_52315,1091.51,2024-10-14
inv_90336,sub_51776,155.35,2024-01-27
inv_90337,sub_50381,499.9,2023-04-15
inv_90338,sub_50034,1355.99,2023-01-08
inv_90339,sub_50833,753.6,2024-10-04
inv_90340,sub_52600,1279.11,2024-12-03
inv_90342,sub_50036,936.93,2024-09-21
inv_90343,sub_53789,778.62,2024-01-31
inv_90344,sub_50149,92.77,2024-05-23
inv_90345,sub_51911,1269.17,2023-12-02
inv_90346,sub_51831,1389.9,2024-01-06
inv_90347,sub_51483,1183.54,2023-12-05
inv_90348,sub_51579,224.61,2024-12-07
inv_90349,sub_50771,871.32,2023-10-18
inv_90350,sub_52034,635.75,2024-02-23
inv_90351,sub_53471,1498.85,2024-09-23
inv_90352,sub_50257,1110.28,2023-12-12
inv_90353,sub_51870,775.14,2024-01-19
inv_90354,sub_52537,1247.83,2024-11-10
inv_90355,sub_52996,30.17,2023-12-11
inv_90356,sub_50491,911.46,2024-07-17
inv_90357,sub_53782,1267.28,2024-08-23
inv_90358,sub_51281,902.82,2023-03-04
inv_90359,sub_51467,576.63,2023-08-09
inv_90360,sub_53364,209.68,2024-02-20
inv_90361,sub_53130,1239.8,2024-12-12
inv_90362,sub_51393,1105.14,2023-02-26
inv_90363,sub_50953,163.56,2023-09-12
inv_90364,sub_50103,773.59,2023-02-04
inv_90365,sub_50978,355.82,2023-06-16
inv_90366,sub_51131,627.22,2024-05-06
inv_90367,sub_51715,1003.48,2024-03-06
inv_90368,sub_52267,985.86,2024-04-01
inv_90369,sub_52997,27.84,2023-10-28
inv_90370,sub_50367,103.81,2023-02-24
inv_90371,sub_52550,998.42,2023-03-09
inv_90373,sub_53673,853.71,2024-03-20
inv_90374,sub_52029,273.24,2023-10-18
inv_90375,sub_53153,1484.33,2023-12-13
inv_90376,sub_51438,190.87,2024-10-08
inv_90377,sub_51835,73.12,2023-07-27
inv_90378,sub_51057,320.46,2023-10-17
inv_90379,sub_53248,868.64,2024-03-25
inv_90380,sub_53305,1324.46,2024-11-10
inv_90381,sub_50204,98.22,2024-10-30
inv_90382,sub_52566,1427.08,2024-05-19
inv_90383,sub_53951,946.43,2023-12-09
inv_90384,sub_53614,810.23,2024-10-30
inv_90385,sub_50898,1446.55,2024-10-25
inv_90386,sub_53259,475.93,2024-08-29
inv_90387,sub_51150,381.6,2024-05-14
inv_90388,sub_51164,746.21,2023-03-02
inv_90389,sub_51759,328.03,2024-07-25
inv_90390,sub_53923,518.99,2024-07-31
inv_90391,sub_52553,1291.89,2024-12-06
inv_90392,sub_53847,292.43,2024-02-13
inv_90393,sub_52955,323.42,2024-08-19
inv_90394,sub_52671,1033.56,2023-08-27
inv_90395,sub_51031,1474.33,2023-03-23
inv_90396,sub_53978,114.46,2024-01-08
inv_90397,sub_50560,546.97,2023-10-03
inv_90398,sub_53239,170.01,2024-02-13
inv_90399,sub_51448,1408.46,2024-03-17
inv_90400,sub_53888,1266.17,2023-08-05
inv_90401,sub_52891,356.6,2023-01-27
inv_90402,sub_51414,456.53,2024-02-18
inv_90404,sub_51130,776.68,2024-01-30
inv_90405,sub_53501,1309.7,2023-06-30
inv_90406,sub_51868,229.05,2024-02-21
inv_90407,sub_53123,1472.91,2023-09-10
inv_90408,sub_53755,944.44,2023-02-07
inv_90409,sub_50255,880.3,2024-10-11
inv_90410,sub_50605,1339.57,2023-06-08
inv_90411,sub_51140,1294.78,2023-03-16
inv_90412,sub_50374,721.74,2023-05-02
inv_90413,sub_51505,540.9,2023-07-16
inv_90414,sub_51757,1410.27,2023-09-05
inv_90415,sub_50461,1067.39,2023-10-25
inv_90416,sub_53874,252.0,2023-03-09
inv_90417,sub_50426,526.41,2023-04-15
inv_90418,sub_53137,1048.19,2024-08-17
inv_90419,sub_53776,946.66,2024-03-19
inv_90420,sub_53054,910.29,2023-09-01
inv_90421,sub_51719,30.58,2024-08-24
inv_90422,sub_52028,78.37,2023-07-14
inv_90423,sub_53544,933.01,2024-01-15
inv_90424,sub_51490,168.24,2023-04-06
inv_90425,sub_50096,1200.52,2024-10-07
inv_90426,sub_53478,861.35,2024-03-14
inv_90427,sub_53153,820.98,2024-03-15
inv_90428,sub_50796,512.71,2023-10-30
inv_90429,sub_50411,228.25,2023-01-10
inv_90430,sub_52750,1198.16,2023-12-31
inv_90431,sub_51551,1142.68,2023-11-05
inv_90432,sub_51280,388.88,2024-05-16
inv_90433,sub_50147,919.03,2023-09-17
inv_90435,sub_50853,772.23,2024-01-08
inv_90436,sub_50278,663.33,2023-07-23
inv_90437,sub_50448,248.45,2024-09-25
inv_90438,sub_50332,463.86,2023-05-16
inv_90439,sub_53022,303.92,2023-03-22
inv_90440,sub_51276,510.58,2023-10-10
inv_90441,sub_50232,382.37,2024-05-03
inv_90442,sub_52926,422.31,2023-12-17
inv_90443,sub_51043,661.06,2023-07-07
inv_90444,sub_50635,558.66,2024-08-04
inv_90445,sub_50570,1309.94,2024-05-26
inv_90446,sub_50303,1353.1,2023-07-07
inv_90447,sub_53993,952.44,2024-04-26
inv_90448,sub_51239,426.74,2024-11-17
inv_90449,sub_50432,454.52,2024-06-14
inv_90450,sub_51576,262.14,2024-11-16
inv_90451,sub_52932,740.58,2023-07-13
inv_90452,sub_50537,963.62,2023-10-20
inv_90453,sub_51323,304.81,2023-04-29
inv_90454,sub_53103,264.96,2024-08-08
inv_90455,sub_53028,204.73,2024-10-04
inv_90456,sub_51777,662.17,2023-02-28
inv_90457,sub_53514,418.88,2023-01-13
inv_90458,sub_53675,1038.43,2023-01-29
inv_90459,sub_53022,877.78,2024-08-21
inv_90460,sub_53720,353.2,2024-03-09
inv_90461,sub_52220,1106.53,2023-02-12
inv_90462,sub_50271,715.7,2023-03-19
inv_90463,sub_53894,564.03,2023-03-30
inv_90464,sub_52183,1294.93,2024-10-23
inv_90466,sub_53943,1137.48,2023-09-23
inv_90467,sub_53258,81.72,2023-03-03
inv_90468,sub_51301,395.26,2023-09-13
inv_90469,sub_52630,153.4,2024-11-17
inv_90470,sub_50662,208.03,2024-12-30
inv_90471,sub_53383,637.85,2024-08-20
inv_90472,sub_53966,294.94,2023-06-09
inv_90473,sub_51811,264.58,2024-10-11
inv_90474,sub_51262,1171.99,2024-10-10
inv_90475,sub_52750,551.32,2023-02-05
inv_90476,sub_53600,1436.35,2024-05-30
inv_90477,sub_52367,1349.15,2023-11-08
inv_90478,sub_51971,648.13,2023-10-14
inv_90479,sub_53925,940.43,2023-11-25
inv_90480,sub_50750,1070.95,2023-07-12
inv_90481,sub_50619,1275.75,2023-07-24
inv_90482,sub_52982,719.94,2024-10-23
inv_90483,sub_51212,1167.9,2023-06-11
inv_90484,sub_52623,628.62,2024-03-28
inv_90485,sub_50258,582.91,2024-07-15
inv_90486,sub_51046,377.13,2023-12-19
inv_90487,sub_50499,444.27,2023-10-21
inv_90488,sub_52973,1016.04,2023-05-18
inv_90489,sub_51596,79.15,2023-12-18
inv_90490,sub_50937,764.79,2024-01-07
inv_90491,sub_53658,545.41,2024-07-08
inv_90492,sub_52048,520.46,2024-08-08
inv_90493,sub_52414,165.31,2024-10-13
inv_90494,sub_52168,857.96,2023-03-05
inv_90495,sub_50900,1397.9,2024-04-28
inv_90497,sub_51120,1122.53,2024-08-14
inv_90498,sub_51431,1182.7,2024-07-22
inv_90499,sub_51369,333.13,2024-09-14
inv_90500,sub_53108,1164.13,2023-04-18
inv_90501,sub_50506,1135.05,2023-03-13
inv_90502,sub_50913,1317.32,2024-06-29
inv_90503,sub_53359,327.34,2023-03-25
inv_90504,sub_53683,295.8,2024-03-13
inv_90505,sub_50414,1341.31,2024-10-25
inv_90506,sub_53652,689.61,2023-05-23
inv_90507,sub_51460,1419.53,2024-08-11
inv_90508,sub_51866,326.24,2024-11-26
inv_90509,sub_50409,966.26,2023-06-01
inv_90510,sub_53250,964.03,2024-09-07
inv_90511,sub_52118,961.27,2023-09-12
inv_90512,sub_50894,1475.78,2023-05-27
inv_90513,sub_51790,502.26,2023-05-25
inv_90514,sub_52674,760.89,2023-01-02
inv_90515,sub_50226,1356.27,2023-10-18
inv_90516,sub_53283,1282.93,2024-09-17
inv_90517,sub_52238,831.93,2024-10-31
inv_90518,sub_52205,729.18,2023-01-10
inv_90519,sub_51459,398.54,2023-10-26
inv_90520,sub_50151,425.48,2023-09-09
inv_90521,sub_53573,1393.94,2024-07-23
inv_90522,sub_53601,98.55,2024-07-08
inv_90523,sub_53819,583.19,2024-02-25
inv_90524,sub_51354,788.21,2024-11-02
inv_90525,sub_50316,485.55,2023-08-02
inv_90526,sub_52548,387.23,2024-01-23
inv_90528,sub_53156,376.53,2024-09-21
inv_90529,sub_53996,332.03,2023-10-10
inv_90530,sub_53169,655.52,2023-12-24
inv_90531,sub_51095,859.74,2023-11-15
inv_90532,sub_51765,1391.57,2024-12-13
inv_90533,sub_53817,1354.95,2023-05-27
inv_90534,sub_50061,556.82,2024-06-19
inv_90535,sub_52283,795.58,2023-02-22
inv_90536,sub_51914,1354.59,2023-06-03
inv_90537,sub_51508,705.64,2023-03-31
inv_90538,sub_51674,293.4,2024-10-20
inv_90539,sub_52536,1029.28,2024-05-07
inv_90540,sub_53684,725.42,2024-03-01
inv_90541,sub_52482,210.38,2023-07-10
inv_90542,sub_50860,1384.72,2023-02-10
inv_90543,sub_52465,927.33,2024-02-19
inv_90544,sub_51711,236.61,2023-05-17
inv_90545,sub_51392,1188.01,2024-05-13
inv_90546,sub_50046,122.66,2023-02-08
inv_90547,sub_50051,1282.87,2023-10-19
inv_90548,sub_50187,723.87,2024-06-15
inv_90549,sub_52096,258.07,2023-05-30
inv_90550,sub_51961,207.99,2023-11-16
inv_90551,sub_52099,494.83,2024-09-23
inv_90552,sub_50916,1325.57,2024-05-21
inv_90553,sub_52105,1318.99,2024-06-01
inv_90554,sub_51928,767.57,2024-11-08
inv_90555,sub_53808,735.51,2023-10-07
inv_90556,sub_50217,1497.51,2023-08-27
inv_90557,sub_52212,605.99,2024-05-05
inv_90559,sub_53720,38.04,2023-07-12
inv_90560,sub_53583,731.55,2024-10-06
inv_90561,sub_53350,300.92,2024-08-02
inv_90562,sub_53346,619.23,2024-05-01
inv_90563,sub_53368,229.54,2023-02-10
inv_90564,sub_50831,624.96,2023-05-06
inv_90565,sub_52905,1408.08,2024-08-13
inv_90566,sub_52361,391.27,2024-02-18
inv_90567,sub_53036,566.39,2023-02-03
inv_90568,sub_50361,295.73,2023-12-11
inv_90569,sub_51978,798.91,2023-06-28
inv_90570,sub_50806,966.97,2023-10-06
inv_90571,sub_53988,1346.65,2024-04-17
inv_90572,sub_53830,74.15,2024-07-09
inv_90573,sub_50901,473.0,2024-03-21
inv_90574,sub_50621,576.56,2024-10-01
inv_90575,sub_51509,1020.48,2024-02-10
inv_90576,sub_51279,477.23,2023-10-05
inv_90577,sub_52206,1283.86,2024-05-16
inv_90578,sub_51802,1400.0,2023-10-28
inv_90579,sub_51387,863.72,2024-08-02
inv_90580,sub_51128,199.7,2024-07-03
inv_90581,sub_50931,581.03,2023-01-06
inv_90582,sub_52218,878.57,2024-06-22
inv_90583,sub_53774,1469.04,2024-12-21
inv_90584,sub_53065,111.55,2023-07-17
inv_90585,sub_50680,49.17,2024-09-04
inv_90586,sub_51597,441.99,2024-06-23
inv_90587,sub_53135,1304.17,2024-05-02
inv_90588,sub_53405,545.91,2023-12-30
inv_90590,sub_53419,1070.13,2024-09-07
inv_90591,sub_53954,118.16,2023-07-06
inv_90592,sub_53129,1447.04,2023-12-26
inv_90593,sub_51317,225.11,2023-11-25
inv_90594,sub_50115,1353.57,2023-07-17
inv_90595,sub_50208,825.26,2024-12-06
inv_90596,sub_53257,709.71,2023-07-25
inv_90597,sub_53963,1105.39,2024-02-24
inv_90598,sub_50207,999.97,2024-04-26
inv_90599,sub_53944,787.17,2023-02-27
inv_90600,sub_53906,314.4,2023-09-13
inv_90601,sub_50545,1327.36,2023-04-27
inv_90602,sub_53433,973.17,2024-05-27
inv_90603,sub_53166,329.91,2024-02-18
inv_90604,sub_50852,78.78,2024-12-24
inv_90605,sub_53551,943.5,2024-06-07
inv_90606,sub_53376,530.41,2024-03-15
inv_90607,sub_51906,1467.16,2023-08-18
inv_90608,sub_53931,951.21,2023-01-24
inv_90609,sub_51195,765.71,2024-09-26
inv_90610,sub_52174,790.56,2023-09-05
inv_90611,sub_51606,223.41,2024-07-15
inv_90612,sub_52809,980.28,2024-03-25
inv_90613,sub_52999,1368.85,2023-01-07
inv_90614,sub_51775,1406.16,2023-02-10
inv_90615,sub_52816,893.81,2025-01-01
